Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Outlet_Years,Item_Type_Combined,Item_Visibility_MeanRatio,outlet
0,FDA15,249.8092,3735.138,0.016047301,9.3,OUT049,0,1,1,14,1,0.23020206869305873,9
2,DRC01,48.2692,443.4228,0.019278216,5.92,OUT018,2,1,2,4,0,0.27655025626500207,3
0,FDN15,141.618,2097.27,0.016760075,17.5,OUT049,0,1,1,14,1,0.24042696877504924,9
2,FDX07,182.095,732.38,0.017834337888888892,19.2,OUT010,2,1,0,15,1,0.2558375066182918,0
1,NCD19,53.8614,994.7052,0.009779828555555557,8.93,OUT013,2,0,1,26,2,0.14029379550818782,1
2,FDP36,51.4008,556.6088,0.057058688875,10.395,OUT018,2,1,2,4,1,0.8185194641727364,3
2,FDO10,57.6588,343.5528,0.012741088999999999,13.65,OUT013,2,0,1,26,1,0.18277372906524125,1
0,FDP10,107.7622,4022.7636,0.127469857,12.857645184136183,OUT027,2,1,3,28,1,1.8285831852601488,5
2,FDH17,96.9726,1076.5986,0.016687114,16.2,OUT045,1,1,1,11,1,0.23938032715388724,7
2,FDU28,187.8214,4710.535,0.09444959,19.2,OUT017,1,1,1,6,1,1.3549001794888271,2
0,FDY07,45.5402,1516.0266,0.040626524444444444,11.8,OUT049,0,1,1,14,1,0.5827964447678915,9
2,FDA03,144.1102,2187.153,0.045463773,18.5,OUT046,0,2,1,16,1,0.6521878411323891,8
2,FDX32,145.4786,1589.2646,0.1000135,15.1,OUT049,0,1,1,14,1,1.434715694385818,9
2,FDS46,119.6782,2145.2076,0.047257328,17.6,OUT046,0,2,1,16,1,0.6779167827977058,8
0,FDF32,196.4426,1977.4260000000002,0.06802430000000001,16.35,OUT013,2,0,1,26,1,0.9758235719138837,1
2,FDP49,56.3614,1547.3192,0.06908896099999999,9.0,OUT046,0,2,1,16,1,0.9910963685453432,8
1,NCB42,115.3492,1621.8888,0.008596051,11.8,OUT018,2,1,2,4,2,0.12331224564124749,3
2,FDP49,54.3614,718.3982,0.06919637599999999,9.0,OUT049,0,1,1,14,1,0.9926372603880689,9
0,DRI11,113.2834,2303.6679999999997,0.034237682,12.857645184136183,OUT027,2,1,3,28,0,0.49114709219046243,5
0,FDU02,230.5352,2748.4224,0.10249212,13.35,OUT035,1,2,1,9,1,1.4702720444227488,6
2,FDN22,250.8724,3775.086,0.138190277,18.85,OUT013,2,0,1,26,1,1.9823699722879764,1
2,FDW12,144.5444,4064.0432,0.035399923,12.857645184136183,OUT027,2,1,3,28,1,0.5078196954226128,5
